iter	Passed	Remaining
156	398	2139
157	399	2131
158	401	2124
159	403	2119
160	404	2108
161	405	2098
162	406	2089
163	407	2079
164	409	2070
165	410	2061
166	411	2053
167	412	2043
168	413	2034
169	415	2026
170	417	2022
171	418	2013
172	419	2006
173	420	1997
174	422	1990
175	423	1982
176	425	1977
177	426	1969
178	427	1961
179	428	1954
180	430	1947
181	432	1943
182	433	1936
183	434	1928
184	435	1920
185	437	1912
186	438	1904
187	439	1897
188	440	1890
189	441	1884
190	443	1876
191	444	1871
192	445	1864
193	447	1858
194	448	1851
195	449	1844
196	450	1837
197	451	1830
198	453	1823
199	454	1817
200	455	1811
201	456	1804
202	458	1798
203	459	1792
204	460	1786
205	462	1781
206	463	1775
207	464	1768
208	465	1762
209	466	1756
210	468	1750
211	469	1743
212	470	1737
213	471	1731
214	472	1725
215	474	1720
216	475	1714
217	476	1709
218	477	1703
219	478	1697
220	479	1691
221	480	1685
222	482	1679
223	483	1674
224	484	1669
225	485	1664
226	487	1659
227	488	1654
228	489	1649
229	491	1645
230	493	1641
231	494	1637
232	495	1632
233	497	1627
234	498	1621
235	499	1616
236	501	1614
237	502	1609
238	504	1604
239	505	1601
240	507	1597
241	508	1592
242	509	1587
243	510	1582
244	512	1578
245	513	1573
246	514	1569
247	516	1564
248	517	1560
249	518	1555
250	519	1551
251	521	1547
252	522	1543
253	524	1539
254	525	1534
255	526	1529
256	527	1525
257	528	1521
258	530	1516
259	531	1512
260	532	1507
261	533	1503
262	535	1499
263	536	1496
264	537	1492
265	539	1487
266	540	1483
267	541	1479
268	542	1475
269	543	1470
270	545	1467
271	546	1463
272	548	1459
273	549	1456
274	552	1456
275	553	1452
276	554	1448
277	556	1444
278	557	1440
279	558	1436
280	560	1433
281	561	1429
282	562	1425
283	564	1422
284	565	1419
285	567	1416
286	568	1412
287	569	1408
288	570	1404
289	571	1400
290	573	1396
291	574	1392
292	575	1388
293	576	1384
294	577	1381
295	579	1377
296	580	1374
297	583	1373
298	584	1370
299	585	1366
300	587	1363
301	588	1360
302	590	1357
303	591	1353
304	592	1350
305	594	1347
306	595	1344
307	597	1342
308	598	1338
309	599	1334
310	600	1331
311	601	1327
312	603	1324
313	604	1321
314	605	1317
315	607	1314
316	609	1312
317	611	1310
318	612	1308
319	614	1305
320	615	1301
321	616	1298
322	617	1295
323	619	1292
324	620	1289
325	622	1286
326	623	1282
327	625	1280
328	626	1277
329	627	1274
330	628	1271
331	630	1267
332	631	1264
333	632	1261
334	633	1258
335	635	1254
336	636	1251
337	637	1248
338	639	1246
339	640	1244
340	642	1240
341	643	1237
342	644	1234
343	645	1230
344	646	1227
345	648	1225
346	649	1221
347	650	1218
348	651	1215
349	653	1212
350	654	1210
351	655	1207
352	657	1204
353	658	1201
354	659	1198
355	660	1195
356	662	1192
357	663	1189
358	664	1186
359	665	1183
360	667	1180
361	668	1178
362	670	1176
363	672	1174
364	673	1171
365	674	1168
366	675	1165
367	676	1162
368	678	1159
369	679	1156
370	680	1153
371	681	1150
372	683	1148
373	684	1146
374	686	1144
375	687	1141
376	688	1138
377	689	1135
378	690	1132
379	692	1129
380	693	1126
381	694	1124
382	696	1121
383	697	1118
384	698	1115
385	700	1113
386	701	1111
387	702	1108
388	703	1105
389	705	1102
390	706	1100
391	707	1097
392	709	1095
393	710	1092
394	711	1089
395	712	1087
396	714	1085
397	715	1082
398	717	1080
399	718	1077
400	719	1074
401	720	1071
402	721	1069
403	722	1066
404	724	1063
405	725	1061
406	726	1058
407	727	1056
408	729	1053
409	731	1051
410	732	1049
411	733	1046
412	734	1044
413	736	1042
414	737	1039
415	738	1037
416	739	1034
417	741	1032
418	742	1029
419	744	1028
420	746	1026
421	747	1023
422	748	1021
423	750	1018
424	751	1016
425	752	1014
426	753	1011
427	754	1008
428	756	1006
429	757	1004
430	758	1001
431	760	999
432	761	997
433	762	994
434	764	992
435	765	989
436	766	987
437	767	985
438	768	982
439	770	980
440	771	977
441	772	975
442	773	973
443	775	970
444	776	968
445	777	965
446	778	963
447	779	960
448	780	958
449	782	955
450	783	953
451	784	951
452	786	949
453	787	946
454	788	944
455	790	942
456	791	940
457	792	938
458	793	935
